date,web_active_users,web_new_users,ios_active_users,ios_new_users,android_active_users,android_new_users
2026-05-28,,,2,1,8,8
2026-05-29,,,1,0,8,8
2026-05-30,,,1,0,5,5
2026-05-31,,,2,1,18,18
2026-06-01,1,1,1,0,7,7
2026-06-02,1,1,1,0,5,5
2026-06-03,3,2,1,0,8,8
2026-06-04,,,1,0,5,5
2026-06-05,,,,,9,9
2026-06-06,,,1,0,3,3
2026-06-07,,,1,1,1,1
2026-06-08,,,,,1,1
2026-06-10,,,1,0,,
2026-06-11,1,0,,,5,5
2026-06-12,1,1,1,0,6,6
2026-06-13,,,,,1,1
2026-06-14,,,,,1,1
2026-06-15,,,1,0,1,1
2026-06-16,,,1,0,,
2026-06-17,,,1,0,1,1
2026-06-18,,,1,0,3,3
2026-06-19,,,1,0,5,5
2026-06-20,2,2,1,0,10,10
2026-06-21,4,2,1,0,,
2026-06-22,7,5,,,,
2026-06-23,2,1,1,0,6,6
2026-06-24,2,0,,,,
2026-06-25,4,1,2,1,,
2026-06-26,,,,,6,6
2026-06-27,4,4,1,0,,
